cluster_id,intensity,rank,uri,energy,valence
3,1,15,spotify:track:687LfKbMekzqGnPY7wn66V,0.192,0.166
3,1,16,spotify:track:0mzAz2k2Hq2drZ3QOoITqf,0.124,0.263
3,1,17,spotify:track:37jcxwCxJfyuBP941RK8Qp,0.16,0.124
3,1,18,spotify:track:13HsEKOm0VlMfNq8Onu4rP,0.155,0.166
3,1,19,spotify:track:6F8TqhBc5amqVt3QVht7EG,0.574,0.197
3,1,20,spotify:track:3gmQ3tklUt8IJixvO3jVAp,0.0347,0.179
3,5,1,spotify:track:3TMMUiFVnObLCA5zEjBHB1,0.187,0.26
3,5,2,spotify:track:1ZQnZI1sZH7UPLH6bAqikm,0.505,0.175
3,5,3,spotify:track:5KnuQP0BP3rYsx49ugnqUY,0.142,0.0834
3,5,4,spotify:track:582vuwyKpl2e66NsWMJwDw,0.0887,0.428
3,5,5,spotify:track:1ss4tJzutCvbAOJOtl8Hwd,0.147,0.381
3,5,6,spotify:track:0dqTvunQcHw7WscGn3zoNv,0.0222,0.154
3,5,7,spotify:track:1jSDK2lLIJNmJKNt14NNQF,0.479,0.0807
3,5,8,spotify:track:0c5SPry2XKSUvtUowBHBwv,0.0272,0.0275
3,5,9,spotify:track:2uaSFwufXiS5OuuN4sqFGv,0.0367,0.0814
3,5,10,spotify:track:7jGr9AFS6ErXJ45a5rIzM3,0.0324,0.173
3,5,11,spotify:track:2fxYjWYVMhOidZUkDTar02,0.136,0.0523
3,5,12,spotify:track:4Z5xa0TWW7DcPnx5t6bp3X,0.0243,0.49
3,5,13,spotify:track:1Yngco6ORQ8IlzCZwDN804,0.0459,0.0852
3,5,14,spotify:track:4cXWKqGv91HzvKQe0r6dNJ,0.0873,0.0947
3,5,15,spotify:track:0i4LbBW7DOlVcXThcRlbsP,0.0323,0.134
3,5,16,spotify:track:5SwqHpKZdlWOBGsAUdg1me,0.0872,0.0437
3,5,17,spotify:track:0E97LEEOz5rk6wAJr6rNI3,0.0653,0.33
3,5,18,spotify:track:4QGcS9KL4M9zOAy8JQ2cy0,0.336,0.219
3,5,19,spotify:track:74NmDsFZbbS0T7Zc2z74Cd,0.13,0.215
3,5,20,spotify:track:3VS1qUm62nDLZJtxd0V2bb,0.0899,0.222
3,10,1,spotify:track:7hVsNjrvtfXZlzxW5vxsAi,0.099,0.0986
3,10,2,spotify:track:767T5vqvDToZ8LtqT8iZx9,0.426,0.0579
3,10,3,spotify:track:5xWXmLFPwRIQhDqQ7PbLlv,0.0798,0.109
3,10,4,spotify:track:5FbBUKc1FOX5t571OjuAvC,0.201,0.328
3,10,5,spotify:track:3z2c84ID23IxhiEeaAzuvQ,0.18,0.21
3,10,6,spotify:track:1n6FtDEVKouS0hepaV9xcC,0.494,0.264
3,10,7,spotify:track:1I3xjqh67tSeLxpbb0Mf9w,0.125,0.0388
3,10,8,spotify:track:320k8OKicwdkzqwjPfHPyF,0.0874,0.0582
3,10,9,spotify:track:57PJecbqGlWHXk4N0S7E39,0.125,0.272
3,10,10,spotify:track:4GzOUBikGy5n9UVngVy2O5,0.135,0.206
3,10,11,spotify:track:4TYwau0KCcnFbvHix35Cvl,0.34,0.227
3,10,12,spotify:track:7ha6LU5Dle7FGBh0I9LZIa,0.155,0.463
3,10,13,spotify:track:0uqcH5GIa9Qcvez3Y1Lcuf,0.188,0.0477
3,10,14,spotify:track:5Zq2ZRF6gC4Rs5H3xnJ5eV,0.159,0.468
3,10,15,spotify:track:45tNymiGXb2afxk7opDlmA,0.429,0.356
3,10,16,spotify:track:2mgZgUB5KUSf1Qr5QgmzF1,0.0669,0.039
3,10,17,spotify:track:1PTET9JoDrPKAqbUyiK8Mg,0.217,0.271
3,10,18,spotify:track:6mvJPG9ZAiB5y5hsNdVYAT,0.347,0.203
3,10,19,spotify:track:0LNfmm1wj0SULbYLFtUxEX,0.265,0.169
3,10,20,spotify:track:0bKewqEAZeQkFqWd3XW3CK,0.137,0.485
